,track,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,top-track
0,Growing Up,0VaOlp5rnOdvU664eQXq5d,0.64,0.276,3.0,-10.575,1.0,0.0536,0.772,0.0,0.145,0.375,93.541,243960.0,False
1,3 Rounds and a Sound,6AYFKOPbmd12rUP5DalRwB,0.381,0.288,1.0,-12.323,1.0,0.0337,0.843,0.00226,0.12,0.198,59.343,266960.0,False
2,The Worth Of The Wait,4ngv7whSPSAwD8ZP3zMHsd,0.48,0.618,2.0,-7.335,1.0,0.0501,0.844,8.93e-05,0.325,0.344,82.051,171800.0,False
3,The Original,2amZYLlA7PTIaGBw6UTb8r,0.581,0.252,2.0,-11.649,1.0,0.0313,0.807,4.24e-05,0.106,0.462,76.175,176080.0,False
4,Paper Aeroplane,5E3jbxmonQ370P93Qdfy5Y,0.805,0.416,11.0,-14.383,1.0,0.0982,0.594,0.219,0.106,0.352,104.102,225280.0,False
5,Only Lonely,2BzYOfztRMaIVKTfYOGQgR,0.412,0.276,7.0,-11.711,1.0,0.0296,0.898,0.000372,0.0955,0.214,90.781,217557.0,False
6,Tomorrow,3Uh6AwVRMECL8VmMmlO4YI,0.484,0.331,7.0,-12.504,1.0,0.0299,0.776,0.00401,0.209,0.342,164.038,184842.0,False
7,House Of My Soul (You Light The Rooms),7Jd362EXGUF2c2Zk2abVdq,0.548,0.624,10.0,-7.444,1.0,0.0383,0.645,0.0086,0.296,0.712,69.446,173280.0,False
8,Keep On,4Bekc318sVRVNqy2HoXON7,0.526,0.573,2.0,-8.83,1.0,0.0265,0.123,0.638,0.0677,0.245,104.046,275396.0,False
9,Whole Wide World,3e5eR2DBoHD2qR4HN3YmTv,0.729,0.447,5.0,-9.038,1.0,0.0387,0.598,0.000279,0.116,0.595,108.837,155240.0,False
10,Ghosts,0up48KQvGzMCrgqrfT07i2,0.463,0.368,9.0,-11.546,1.0,0.048,0.376,0.0,0.149,0.75,141.974,179960.0,False
11,More Than I,4vNAb0jT8gpEXrf39HSTOz,0.248,0.515,2.0,-9.754,1.0,0.0368,0.587,0.0974,0.138,0.24,175.273,270573.0,False
12,Northern Lights,3o2tw8emnaXFAIKBYdKW5T,0.69,0.439,5.0,-9.476,1.0,0.0289,0.548,0.00117,0.163,0.261,114.118,174000.0,False
13,By My Side,50AtbZbvd3OXD2NDqy4G29,0.559,0.549,1.0,-10.845,0.0,0.0511,0.35,0.00156,0.173,0.101,114.925,155217.0,False
14,Gone ( The Pocahontas Song),0wvCSSMj3gkLeJPl8E2FrK,0.687,0.503,1.0,-10.358,0.0,0.0463,0.832,1.4e-06,0.0806,0.461,124.92,218500.0,False
15,As Luck Would Have It,1XHGkqgymzwzFWFWKqi6O8,0.497,0.216,0.0,-11.723,0.0,0.0334,0.948,0.617,0.0793,0.115,77.118,124599.0,False
16,Woodland,431qZaQAJuIolwBrlDa6Yg,0.435,0.523,0.0,-9.502,1.0,0.041,0.535,0.00011,0.162,0.374,178.301,231587.0,False
17,Untamed,2qVGmHSlfAhGZJifXVNwUI,0.397,0.264,4.0,-11.396,1.0,0.029,0.784,0.176,0.113,0.0857,90.771,238213.0,False
18,Misty,0jX7GLf5pVGZpchy64sluA,0.597,0.402,10.0,-7.961,1.0,0.0272,0.715,0.00297,0.111,0.241,95.119,224446.0,False
19,Featherstone,45p0MAVey0dnjZXo8kMUzh,0.803,0.373,8.0,-13.692,1.0,0.0367,0.868,0.0266,0.104,0.636,124.921,229627.0,False
20,Umpqua Rushing,5KDYoDGFVjJ0QBOgZm87Wm,0.472,0.598,0.0,-7.045,1.0,0.0357,0.215,0.00706,0.18,0.371,77.988,254747.0,False
21,Townes,1fHXIgOL2pO9RmbCvubju7,0.548,0.21,9.0,-15.362,1.0,0.0319,0.906,0.096,0.114,0.614,143.618,254211.0,False
22,Home,12yzF0AXFLeeRYYGuyCUm1,0.49,0.42,1.0,-13.668,1.0,0.0313,0.189,0.0,0.322,0.398,99.997,122400.0,False
23,Down to the Sea,5zDKhDqRbiCPAPbh2M2Ave,0.343,0.4,6.0,-12.575,1.0,0.0391,0.814,0.00624,0.102,0.125,150.76,247000.0,False
24,Fever To The Form,1QJnDJuYOGj05iSc4eWGr5,0.358,0.546,0.0,-8.927,0.0,0.0296,0.795,0.0586,0.111,0.264,106.489,252960.0,False
25,Simple Things,0XAtJS1qj32yMeoDfia3Nt,0.474,0.442,1.0,-14.753,1.0,0.0482,0.729,0.00687,0.108,0.523,132.834,265154.0,False
26,Old Pine,3CAX47TnPqTujLIQTw8nwI,0.401,0.364,5.0,-10.836,1.0,0.033,0.45,0.0503,0.162,0.224,129.57,328507.0,False
27,The Girl I Haven't Met,6EaTwxekBZbk9SuKmmqQzm,0.636,0.256,3.0,-12.127,1.0,0.0353,0.89,0.00414,0.117,0.274,104.921,179373.0,False
28,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D,0.591,0.416,1.0,-9.794,1.0,0.0246,0.882,0.000641,0.112,0.415,96.003,210080.0,False
29,Red River Valley,6NSpccyjAT80BesuPjdLn1,0.563,0.248,3.0,-16.357,1.0,0.0381,0.981,0.00147,0.223,0.588,96.571,131613.0,False
30,First Day Of My Life,5OiaAaIMYlCZONyDBxqk4G,0.602,0.201,4.0,-17.024,1.0,0.0363,0.915,8.28e-05,0.0952,0.385,95.345,188800.0,False
31,Lights Off,5WbbSGSA8qb601YH4SqLA6,0.611,0.33,7.0,-11.475,1.0,0.0504,0.862,0.0,0.18,0.418,150.075,232400.0,False
32,Arms,77pUuO8xtAzaG6TaDcbAxK,0.506,0.841,1.0,-6.517,0.0,0.0345,0.121,0.203,0.276,0.569,103.578,172053.0,False
33,Tears Don't Fall,02p7KhGzlicIY8rvRVVION,0.666,0.566,7.0,-12.136,1.0,0.0309,0.467,0.0269,0.144,0.819,149.441,192168.0,False
34,Iron in the Fire,4HMEqwIQ39BhjGHxWhDjJw,0.62,0.518,9.0,-10.615,1.0,0.068,0.456,0.0111,0.375,0.159,92.993,221573.0,False
35,I Sing I Swim,5397UpyFdp4FSPE8xAZHHx,0.601,0.469,0.0,-7.72,1.0,0.0324,0.795,0.00531,0.0772,0.346,120.015,219853.0,False
36,Tiger Striped Sky,4C2aiAVTTVyZbCQZst5Xu1,0.473,0.317,2.0,-10.324,1.0,0.0318,0.944,0.0124,0.11,0.132,139.899,241720.0,False
37,Wildfire,7eMuquGvl8dWNWwISPOmQd,0.648,0.352,4.0,-10.11,1.0,0.0278,0.692,0.262,0.106,0.173,121.461,329893.0,False
38,Down in the Valley,5Gtn8HgCAo0TUiaKKgP6us,0.418,0.403,0.0,-10.53,1.0,0.0294,0.555,0.024,0.108,0.149,105.801,303653.0,False
39,Where I Want To Go - Single Version,5yNPZgat8PQNNn02W9Zuzv,0.399,0.463,9.0,-8.249,0.0,0.0282,0.648,0.0174,0.0931,0.317,150.387,200259.0,False
40,Coastline,4MFJja8C5DQGWstBew2BUC,0.686,0.817,2.0,-6.035,1.0,0.046,0.265,0.000186,0.415,0.474,121.996,182521.0,False
41,Spring To Come,3NDzZy7i8lpf43Niy8pwtB,0.632,0.67,7.0,-8.18,1.0,0.0336,0.713,0.00182,0.211,0.102,111.031,253400.0,False
42,Cavalry,26JL2BIDHH0Sy5VAOBYRWW,0.48,0.273,2.0,-11.045,1.0,0.0318,0.911,0.000128,0.0911,0.439,124.579,196493.0,False
43,Blue Ridge Mountains,6T8qnBbc2rxlWLiweD1e5M,0.524,0.446,8.0,-7.823,0.0,0.0275,0.688,0.000745,0.101,0.272,97.856,265773.0,False
44,Morning Rain,5VWwTfiRLn0L29cs9MNque,0.519,0.293,2.0,-11.192,1.0,0.0303,0.709,0.51,0.114,0.291,112.292,234160.0,False
45,Spirit Cold,1vG6jMgSoqT3zG9tuDrL2E,0.411,0.662,11.0,-6.158,1.0,0.032,0.211,0.0067,0.176,0.356,155.858,222293.0,False
46,Stolen from Them,5UJMcrznVASaSa5uELxU88,0.483,0.259,1.0,-14.436,1.0,0.0301,0.896,0.0,0.105,0.648,92.976,199213.0,False
47,Mexico,6x7oPOBrfsqx9WbON5X1go,0.558,0.117,5.0,-16.958,1.0,0.0345,0.964,0.000686,0.0847,0.174,131.847,246414.0,False
48,Slacks,01qIefOW1UdSDS1mHoSZ3x,0.751,0.528,11.0,-9.582,1.0,0.0865,0.769,4.9e-06,0.0782,0.326,126.013,206635.0,False
49,Burning Ground,0IbrXdAcOPb7BCQqK9NqBh,0.541,0.39,7.0,-10.913,1.0,0.0256,0.807,0.00673,0.158,0.149,97.822,235302.0,False
50,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2.0,-9.51,1.0,0.0378,0.969,0.267,0.641,0.1,86.997,208212.0,False
51,Ocean Stone,7q0Wc4fuSeNNHWCmoRg90M,0.447,0.236,2.0,-14.354,1.0,0.0435,0.876,3.85e-06,0.131,0.414,106.611,182360.0,False
52,The Woods,08bo51XXjxoJRv3O9tuUaj,0.802,0.41,9.0,-12.793,1.0,0.0454,0.411,0.00107,0.0941,0.224,106.047,241547.0,False
53,Bees,3Iju4sprTb8as0be1A41q6,0.516,0.136,0.0,-15.263,1.0,0.0352,0.774,0.0,0.139,0.428,101.58,190120.0,False
54,Waiting Here,17v2VWT9tQIkF3sFqRvtNL,0.656,0.545,4.0,-8.746,1.0,0.0255,0.226,0.00401,0.231,0.395,124.948,234240.0,False
55,Settled Down,3RTHR8VIPTU7s8GWRWy7Dp,0.599,0.294,5.0,-10.222,1.0,0.0279,0.851,0.0398,0.102,0.308,118.208,183733.0,False
56,My Favourite Story,0wAyCcyHN7TmVe9EACLpCc,0.643,0.495,4.0,-10.373,1.0,0.0322,0.515,0.000414,0.109,0.684,103.915,222540.0,False
57,That Moon Song,3lw0CSMQ88LcN0ZMP6DlWi,0.255,0.394,2.0,-12.609,1.0,0.0309,0.653,0.1,0.148,0.267,145.315,214227.0,False
58,Call It Dreaming,1MxHIIzcTeFnaNsDGY3pfj,0.512,0.501,5.0,-9.971,1.0,0.0325,0.609,6.25e-05,0.0973,0.726,79.989,231755.0,False
59,The Flood,2YdU9FRM7fYiZ9B2KOUIpl,0.577,0.446,6.0,-11.343,1.0,0.0313,0.554,0.0782,0.116,0.262,81.005,261640.0,False
60,Fare Thee Well (Dink's Song),0YOOXnCJihgyluizqhAcrz,0.495,0.434,2.0,-8.079,1.0,0.0313,0.897,0.000393,0.109,0.23,82.16,180400.0,False
61,Let It Breathe,52uKQxYJKHpYz0DEwKLltI,0.5,0.151,11.0,-16.107,1.0,0.0348,0.893,6.54e-05,0.111,0.3,113.969,159646.0,False
62,Wandering Child,0BIubA1OOVNkFtkZXBe3gP,0.671,0.36,2.0,-11.696,1.0,0.0367,0.792,3.13e-06,0.0967,0.335,98.034,184550.0,False
63,Simple Song,70HWRkitkAKfos500LBk0T,0.631,0.402,5.0,-11.125,1.0,0.0286,0.616,0.0114,0.0892,0.598,78.0,228480.0,False
64,Crater Lake,1lat1ihaU57L6V7s15SQXz,0.475,0.264,10.0,-11.452,1.0,0.0745,0.957,0.0,0.156,0.135,81.922,114120.0,False
65,Amsterdam,7iQmjnDXYngWGsbjVnDc1U,0.553,0.429,3.0,-12.51,1.0,0.0283,0.921,0.135,0.115,0.532,152.047,198640.0,False
66,On Trees And Birds And Fire,3YnzkpXK1J9fnnoJRG8FUB,0.589,0.311,10.0,-13.573,1.0,0.0395,0.901,0.0661,0.117,0.641,199.887,176800.0,False
67,Up to Me,7HQTrJe9q9yxirrbdNAMcM,0.64,0.381,4.0,-11.79,1.0,0.0302,0.911,0.000254,0.104,0.581,91.49,193533.0,False
68,I Am Not in Love Anymore,1IcwyDAAdo5mYIC5ujB9sz,0.541,0.619,4.0,-7.247,0.0,0.0299,0.261,1.24e-05,0.112,0.381,87.828,278958.0,False
69,Waiting Around - Acoustic,6sFLeTTehG9M2nmZ3jKJ1p,0.484,0.149,0.0,-14.991,1.0,0.0372,0.987,0.00811,0.111,0.123,144.589,152960.0,False
70,Back to Autumn,3TdZbELsPLWYZAArGSfwyQ,0.478,0.587,8.0,-8.032,1.0,0.0304,0.461,0.00107,0.069,0.34,110.919,199653.0,False
71,Paint,2BOof6lYrGfz6BojJ0aeJd,0.364,0.308,4.0,-13.052,1.0,0.0402,0.896,0.00227,0.123,0.389,73.331,191773.0,False
